Time,Block,TaskCount,Duration,X,Y,Z
1688205184899,training,-1,1750,1.6,1.2,-0.211
1688205191663,training,0,1750,1.6,1.2,-0.211
1688205198420,training,1,1750,1.6,1.2,-0.211
1688205205179,training,2,1500,1.6,1.2,-0.211
1688205211687,training,3,1500,1.6,1.2,-0.211
1688205218196,training,4,1500,1.6,1.2,-0.211
1688205232075,VR-easy,-1,1500,1.6,1.2,-0.211
1688205233586,VR-easy,0,1750,1.6,1.2,-0.211
1688205241346,VR-easy,1,1750,1.6,1.2,-0.211
1688205249106,VR-easy,2,1750,1.6,1.2,-0.211
1688205256866,VR-easy,3,1500,1.6,1.2,-0.211
1688205264375,VR-easy,4,1250,1.6,1.2,-0.211
1688205336245,VR-difficult,-1,1750,1.6,1.2,-0.211
1688205338004,VR-difficult,0,1250,1.6,1.2,-0.211
1688205345266,VR-difficult,1,1500,1.6,1.2,-0.211
1688205352777,VR-difficult,2,1250,1.6,1.2,-0.211
1688205360038,VR-difficult,3,1500,1.6,1.2,-0.211
1688205367551,VR-difficult,4,1750,1.6,1.2,-0.211
1688205400173,AV-difficult,-1,1250,1.6,1.2,-0.211
1688205401433,AV-difficult,0,1750,1.6,1.2,-0.211
1688205409192,AV-difficult,1,1500,1.6,1.2,-0.211
1688205416706,AV-difficult,2,1500,1.6,1.2,-0.211
1688205424213,AV-difficult,3,1250,1.6,1.2,-0.211
1688205431475,AV-difficult,4,1250,1.6,1.2,-0.211
1688205495835,AR-easy,-1,1250,1.6,1.2,-0.211
1688205503097,AR-easy,0,1500,1.6,1.2,-0.211
1688205510612,AR-easy,1,1750,1.6,1.2,-0.211
1688205518375,AR-easy,2,1250,1.6,1.2,-0.211
1688205525633,AR-easy,3,1250,1.6,1.2,-0.211
1688205532892,AR-easy,4,1250,1.6,1.2,-0.211
1688205576175,AV-easy,-1,1250,1.6,1.2,-0.211
1688205583434,AV-easy,0,1500,1.6,1.2,-0.211
1688205590946,AV-easy,1,1750,1.6,1.2,-0.211
1688205598706,AV-easy,2,1750,1.6,1.2,-0.211
1688205606467,AV-easy,3,1750,1.6,1.2,-0.211
1688205614230,AV-easy,4,1250,1.6,1.2,-0.211
1688205667877,AR-difficult,-1,1750,1.6,1.2,-0.211
1688205675638,AR-difficult,0,1750,1.6,1.2,-0.211
1688205683400,AR-difficult,1,1500,1.6,1.2,-0.211
1688205690913,AR-difficult,2,1250,1.6,1.2,-0.211
1688205698174,AR-difficult,3,1750,1.6,1.2,-0.211
1688205705936,AR-difficult,4,1500,1.6,1.2,-0.211
1688205811086,training,-1,1750,1.6,1.2,-0.211
1688205817853,training,0,1750,1.6,1.2,-0.211
1688205824610,training,1,1250,1.6,1.2,-0.211
1688205830868,training,2,1250,1.6,1.2,-0.211
