Time,Block,TaskCount,Item,Tag,X,Y,Z
1688204511945,training,0,Blue Cube,Target,2.120023,0.7133154,0.911606
1688204511945,training,0,Blue Sphere,Same Color,1.363427,1.28207,1.134606
1688204511945,training,0,Blue Pyramids,Same Color,2.575119,0.7338049,1.508806
1688204511945,training,0,Blue Pyramids,Same Color,0.9303789,1.765085,-0.434051
1688204511945,training,0,Blue Sphere,Same Color,2.605655,0.3094744,-1.05431
1688204511945,training,0,Blue Sphere,Same Color,2.39607,1.714345,1.199113
1688204511945,training,0,Blue Pyramids,Same Color,2.06386,1.949878,-0.2551072
1688204511945,training,0,Purple Cube,Same Shape,2.602469,0.1714798,-0.4272664
1688204511945,training,0,Purple Cube,Same Shape,1.40235,0.8456064,-0.1425789
1688204511945,training,0,Red Cube,Same Shape,0.99665,1.189377,-0.3471217
1688204511945,training,0,Red Cube,Same Shape,2.315032,1.013682,-0.1016041
1688204511945,training,0,Yellow Cube,Same Shape,2.676107,2.073184,0.6132288
1688204511945,training,0,Purple Cube,Same Shape,2.611081,1.253721,-0.6861153
1688204511945,training,0,Purple Pyramids,Different,2.343318,1.103137,-1.233696
1688204511945,training,0,Purple Sphere,Different,1.794739,0.7188817,-0.9643762
1688204511945,training,0,Red Sphere,Different,0.6521782,1.331055,0.1242569
1688204511945,training,0,Red Cylinder,Different,1.979252,1.329286,0.5678247
1688204511945,training,0,Yellow Sphere,Different,1.541822,0.5113587,-0.5415186
1688204511945,training,0,Red Sphere,Different,1.865191,1.842535,0.3133783
1688204518710,training,1,Yellow Pyramids,Target,2.597515,0.324449,-1.380214
1688204518710,training,1,Yellow Sphere,Same Color,2.428559,0.8266353,1.459877
1688204518710,training,1,Yellow Cylinder,Same Color,0.7791389,1.681536,0.2835889
1688204518710,training,1,Yellow Sphere,Same Color,1.695838,1.319748,0.1777672
1688204518710,training,1,Yellow Cylinder,Same Color,1.73957,1.612839,-0.9388902
1688204518710,training,1,Yellow Cylinder,Same Color,2.309273,0.8453189,0.09042257
1688204518710,training,1,Yellow Cube,Same Color,2.179648,0.9895101,-1.00912
1688204518710,training,1,Purple Pyramids,Same Shape,1.431396,1.956951,-0.6645406
1688204518710,training,1,Purple Pyramids,Same Shape,1.814721,0.9444137,1.318086
1688204518710,training,1,Red Pyramids,Same Shape,2.006406,0.3695963,-0.4165913
1688204518710,training,1,Red Pyramids,Same Shape,1.248814,1.864068,1.006256
1688204518710,training,1,Blue Pyramids,Same Shape,2.690337,1.651405,1.010106
1688204518710,training,1,Red Pyramids,Same Shape,2.144632,1.074842,-0.377678
1688204518710,training,1,Purple Sphere,Different,1.166435,1.631028,-0.2569728
1688204518710,training,1,Purple Cylinder,Different,2.414399,1.488693,-0.6070586
1688204518710,training,1,Red Sphere,Different,2.150844,1.842979,0.6815078
1688204518710,training,1,Blue Cube,Different,1.319126,0.5417848,0.8130803
1688204518710,training,1,Blue Sphere,Different,1.616379,1.159423,-0.7552347
1688204518710,training,1,Purple Cube,Different,2.499871,0.4562761,-0.1741416
1688204525218,training,2,Purple Sphere,Target,2.632761,1.535246,-0.8714638
1688204525218,training,2,Purple Pyramids,Same Color,0.5384251,1.756143,0.8862004
1688204525218,training,2,Purple Cube,Same Color,0.9371102,1.461208,0.6739919
1688204525218,training,2,Purple Pyramids,Same Color,2.260765,0.8876163,0.3052619
1688204525218,training,2,Purple Pyramids,Same Color,1.944656,0.8100622,1.129982
1688204525218,training,2,Purple Cube,Same Color,1.730179,1.82754,1.121017
1688204525218,training,2,Purple Cylinder,Same Color,1.558874,1.390564,0.1447365
1688204525218,training,2,Red Sphere,Same Shape,1.733459,0.6518619,-0.5516371
1688204525218,training,2,Red Sphere,Same Shape,2.609363,2.153071,-0.6603116
1688204525218,training,2,Red Sphere,Same Shape,0.527629,0.9013839,0.5228671
1688204525218,training,2,Blue Sphere,Same Shape,2.173418,1.582107,0.9945679
1688204525218,training,2,Red Sphere,Same Shape,2.401419,2.099589,0.7335559
1688204525218,training,2,Blue Sphere,Same Shape,1.923574,1.732381,-0.9799166
1688204525218,training,2,Yellow Pyramids,Different,1.663803,1.889965,0.5670857
1688204525218,training,2,Yellow Cube,Different,1.691305,1.964484,-0.06854504
1688204525218,training,2,Yellow Pyramids,Different,2.7313,0.588261,-1.158881
1688204525218,training,2,Blue Cylinder,Different,1.292387,1.519577,-0.696294
1688204525218,training,2,Red Cube,Different,1.521207,1.294481,0.6852213
1688204525218,training,2,Yellow Cube,Different,0.449742,1.004238,-0.3281883
1688204531728,training,3,Blue Cylinder,Target,1.466602,1.990498,-0.2648828
1688204531728,training,3,Blue Sphere,Same Color,2.732685,1.548939,0.5490648
1688204531728,training,3,Blue Sphere,Same Color,1.854011,0.7683163,1.23887
1688204531728,training,3,Blue Pyramids,Same Color,2.550982,1.012262,-0.03445232
1688204531728,training,3,Blue Cube,Same Color,2.580376,0.9893045,1.116739
1688204531728,training,3,Blue Sphere,Same Color,1.967425,1.871641,-0.8358138
1688204531728,training,3,Blue Sphere,Same Color,1.320652,1.074593,-0.6728207
1688204531728,training,3,Red Cylinder,Same Shape,1.807563,0.8457429,-0.278456
1688204531728,training,3,Purple Cylinder,Same Shape,1.468163,1.637024,-0.8996183
1688204531728,training,3,Red Cylinder,Same Shape,2.666789,1.446973,-0.4981037
1688204531728,training,3,Red Cylinder,Same Shape,2.513533,2.052334,1.395115
1688204531728,training,3,Purple Cylinder,Same Shape,2.529992,0.6455576,-0.8125193
1688204531728,training,3,Yellow Cylinder,Same Shape,0.9155707,1.552857,0.01461768
1688204531728,training,3,Red Pyramids,Different,2.009279,0.9266863,0.2845831
1688204531728,training,3,Purple Cube,Different,2.684683,0.5918027,1.794856
1688204531728,training,3,Yellow Cube,Different,2.344537,1.387917,1.420241
1688204531728,training,3,Purple Sphere,Different,1.683558,1.5059,-0.04470372
1688204531728,training,3,Red Pyramids,Different,2.172384,0.3063358,0.1304239
1688204531728,training,3,Red Cube,Different,2.687085,0.3565218,0.2371455
