Time,Block,TaskCount,Duration,X,Y,Z
1688226943611,training,-1,1750,1.6,1.2,-0.211
1688226950376,training,0,1750,1.6,1.2,-0.211
1688226957132,training,1,1750,1.6,1.2,-0.211
1688226963890,training,2,1500,1.6,1.2,-0.211
1688226970399,training,3,1250,1.6,1.2,-0.211
1688226976656,training,4,1250,1.6,1.2,-0.211
1688227010491,AV-easy,-1,1500,1.6,1.2,-0.211
1688227024193,AV-easy,0,1250,1.6,1.2,-0.211
1688227098338,AV-easy,1,1500,1.6,1.2,-0.211
1688227099849,AV-easy,2,1500,1.6,1.2,-0.211
1688227101359,AV-easy,3,1500,1.6,1.2,-0.211
