Time,Block,TaskCount,Target,ClickedItem,IsTarget
1689549981231,training,1,Yellow Sphere,Missed,False
1689549988487,training,2,Red Cylinder,Missed,False
1689549995740,training,3,Blue Pyramids,Missed,False
1711142875996,training,1,Yellow Sphere,Missed,False
1711142883503,training,2,Red Sphere,Missed,False
1711142890767,training,3,Blue Cube,Missed,False
1711142898033,training,4,Purple Sphere,Missed,False
1711142905546,training,5,Red Cylinder,Missed,False
1711142912804,training,6,Blue Cube,Missed,False
1711142920310,training,7,Purple Pyramids,Missed,False
1711142927568,training,8,Yellow Sphere,Missed,False
1711142935323,training,9,Red Pyramids,Missed,False
1711143125289,training,10,Purple Sphere,Missed,False
1711143133043,training,11,Purple Pyramids,Missed,False
1711143140549,training,12,Red Sphere,Missed,False
1711143148304,training,13,Blue Pyramids,Missed,False
1711143155809,training,14,Yellow Cube,Missed,False
1711143163314,training,15,Red Pyramids,Missed,False
1711143171070,training,16,Blue Cube,Missed,False
1711143178824,training,17,Purple Cube,Missed,False
1711143186579,training,18,Blue Cube,Missed,False
1711143193833,training,19,Purple Sphere,Missed,False
1711143276788,training,1,Purple Sphere,Missed,False
1711143284543,training,2,Red Cube,Missed,False
1711143292300,training,3,Blue Pyramids,Missed,False
1711143300054,training,4,Blue Sphere,Missed,False
1711143307808,training,5,Blue Cube,Missed,False
1711143315315,training,6,Yellow Cube,Missed,False
1711143323068,training,7,Blue Sphere,Missed,False
1711143330320,training,8,Yellow Cylinder,Missed,False
1711143338076,training,9,Blue Cube,Missed,False
