Time,Block,TaskCount,Item,Tag,X,Y,Z
1688227743574,training,0,Yellow Pyramids,Target,2.270602,0.2353221,1.660027
1688227743574,training,0,Yellow Cube,Same Color,0.5233834,1.548043,0.1080034
1688227743574,training,0,Yellow Sphere,Same Color,1.316035,1.208567,0.2459924
1688227743574,training,0,Yellow Sphere,Same Color,2.540241,1.103672,-0.5175132
1688227743574,training,0,Yellow Cube,Same Color,1.8834,1.837196,-0.3082486
1688227743574,training,0,Yellow Cube,Same Color,1.044886,0.8597863,-0.2477908
1688227743574,training,0,Yellow Cube,Same Color,2.656916,0.9991069,1.727918
1688227743574,training,0,Red Pyramids,Same Shape,2.388112,1.339673,0.07511818
1688227743574,training,0,Purple Pyramids,Same Shape,2.700202,0.5769622,-1.384535
1688227743574,training,0,Red Pyramids,Same Shape,1.942491,1.677605,-0.7852474
1688227743574,training,0,Red Pyramids,Same Shape,2.703619,0.6766451,0.9583889
1688227743574,training,0,Red Pyramids,Same Shape,2.115411,0.6428282,-1.16689
1688227743574,training,0,Blue Pyramids,Same Shape,2.225196,2.093321,1.613652
1688227743574,training,0,Blue Cube,Different,2.334396,0.3367579,-0.4237549
1688227743574,training,0,Purple Sphere,Different,0.8964187,1.790862,-0.5429581
1688227743574,training,0,Purple Cube,Different,1.182927,0.673459,0.8537576
1688227743574,training,0,Purple Cube,Different,2.096309,1.280681,1.153096
1688227743574,training,0,Purple Cylinder,Different,1.445061,1.537003,-0.2038334
1688227743574,training,0,Purple Sphere,Different,0.7897575,1.143996,-0.5745115
1688227750333,training,1,Blue Cylinder,Target,1.995046,0.5802199,1.109963
1688227750333,training,1,Blue Pyramids,Same Color,2.449576,1.401374,0.2143935
1688227750333,training,1,Blue Cube,Same Color,2.083114,1.693062,1.328469
1688227750333,training,1,Blue Pyramids,Same Color,1.558774,1.332128,0.2635241
1688227750333,training,1,Blue Sphere,Same Color,1.926358,1.835193,-0.4740714
1688227750333,training,1,Blue Pyramids,Same Color,1.198249,1.063508,0.8914179
1688227750333,training,1,Blue Cube,Same Color,1.641587,0.4689772,0.6488428
1688227750333,training,1,Red Cylinder,Same Shape,2.630877,0.375157,-0.5566861
1688227750333,training,1,Purple Cylinder,Same Shape,2.429717,0.8801204,-0.3754707
1688227750333,training,1,Yellow Cylinder,Same Shape,2.726526,2.265698,-1.408004
1688227750333,training,1,Yellow Cylinder,Same Shape,0.9809963,0.9817476,0.4172416
1688227750333,training,1,Yellow Cylinder,Same Shape,1.652218,1.855476,-0.9545838
1688227750333,training,1,Yellow Cylinder,Same Shape,2.552176,2.222714,0.09295416
1688227750333,training,1,Purple Sphere,Different,0.8697832,1.845155,0.7662725
1688227750333,training,1,Purple Cube,Different,0.8992568,1.67828,-0.02693272
1688227750333,training,1,Purple Sphere,Different,2.269843,1.262548,-0.8076261
1688227750333,training,1,Purple Pyramids,Different,2.35311,0.6221145,0.3230129
1688227750333,training,1,Yellow Pyramids,Different,1.532168,1.449991,-0.58292
1688227750333,training,1,Red Sphere,Different,1.569304,0.9028832,1.330777
1688227756843,training,2,Blue Pyramids,Target,1.46162,0.9838759,-0.04877388
1688227756843,training,2,Blue Sphere,Same Color,2.081712,0.7242401,-0.926046
1688227756843,training,2,Blue Sphere,Same Color,1.649469,1.185494,-0.6670446
1688227756843,training,2,Blue Sphere,Same Color,1.0002,1.710383,-0.2959535
1688227756843,training,2,Blue Cube,Same Color,0.8007351,0.9949042,0.1583484
1688227756843,training,2,Blue Cylinder,Same Color,2.605217,1.564677,-0.1818793
1688227756843,training,2,Blue Cube,Same Color,0.5258842,1.763632,0.5549007
1688227756843,training,2,Red Pyramids,Same Shape,1.268024,0.6121066,0.9725744
1688227756843,training,2,Yellow Pyramids,Same Shape,0.4880164,1.059836,0.9295036
1688227756843,training,2,Purple Pyramids,Same Shape,2.580927,1.899107,0.8172667
1688227756843,training,2,Red Pyramids,Same Shape,1.965733,0.9483852,0.2353067
1688227756843,training,2,Yellow Pyramids,Same Shape,2.369079,0.6123015,1.15301
1688227756843,training,2,Yellow Pyramids,Same Shape,2.382157,1.107433,1.737165
1688227756843,training,2,Purple Cylinder,Different,1.605789,1.96693,-0.2633369
1688227756843,training,2,Yellow Sphere,Different,1.265765,1.282472,0.6462327
1688227756843,training,2,Red Sphere,Different,2.671327,0.8449421,-1.327542
1688227756843,training,2,Purple Cylinder,Different,2.738503,2.288644,-0.308639
1688227756843,training,2,Yellow Cylinder,Different,1.215066,1.795416,0.8561267
1688227756843,training,2,Yellow Sphere,Different,1.137349,1.417743,-0.7373739
1688227763101,training,3,Blue Pyramids,Target,1.701121,1.973253,-0.2903131
1688227763101,training,3,Blue Cylinder,Same Color,2.268052,0.8973522,1.036346
1688227763101,training,3,Blue Cube,Same Color,1.565172,1.308634,0.3185234
1688227763101,training,3,Blue Cube,Same Color,1.749626,1.929142,0.9623934
1688227763101,training,3,Blue Cylinder,Same Color,0.9432718,0.7706806,-0.4909486
1688227763101,training,3,Blue Cube,Same Color,2.558538,0.7581106,-1.055731
1688227763101,training,3,Blue Cube,Same Color,1.673414,1.323113,-0.9778872
1688227763101,training,3,Red Pyramids,Same Shape,2.727603,0.7841172,-0.4397537
1688227763101,training,3,Purple Pyramids,Same Shape,2.715954,1.419592,0.634151
1688227763101,training,3,Purple Pyramids,Same Shape,0.8567749,1.09484,0.5019978
1688227763101,training,3,Purple Pyramids,Same Shape,2.298945,1.586833,1.439349
1688227763101,training,3,Red Pyramids,Same Shape,0.9176301,1.129258,-0.008889973
1688227763101,training,3,Red Pyramids,Same Shape,1.829246,0.7734121,1.465676
1688227763101,training,3,Purple Cube,Different,2.671534,2.110193,-1.344329
1688227763101,training,3,Purple Cube,Different,2.501604,2.069043,1.34545
1688227763101,training,3,Purple Sphere,Different,2.147339,0.4367169,0.1809602
1688227763101,training,3,Yellow Cylinder,Different,2.627383,1.607968,-0.4720696
1688227763101,training,3,Yellow Cube,Different,2.380936,1.677598,-1.316381
1688227763101,training,3,Yellow Cylinder,Different,0.8817402,1.859341,0.3286461
1688227769607,training,4,Purple Cylinder,Target,1.62939,1.464538,0.4936283
1688227769607,training,4,Purple Sphere,Same Color,2.572905,0.9107026,0.8707758
1688227769607,training,4,Purple Sphere,Same Color,1.146402,1.566235,-0.3562943
1688227769607,training,4,Purple Pyramids,Same Color,2.316373,1.747535,-0.974233
1688227769607,training,4,Purple Pyramids,Same Color,2.758098,1.780072,0.5653049
1688227769607,training,4,Purple Pyramids,Same Color,1.869234,1.289821,1.416327
1688227769607,training,4,Purple Cube,Same Color,1.835846,1.005209,-1.030382
1688227769607,training,4,Red Cylinder,Same Shape,0.4737514,1.701756,-0.3572841
1688227769607,training,4,Red Cylinder,Same Shape,2.665557,0.6214669,-1.294025
1688227769607,training,4,Red Cylinder,Same Shape,2.717115,0.1930433,0.5879606
