Time,Block,TaskCount,State
1688204511949,training,0,start
1688204515953,training,0,end
1688204518712,training,1,start
1688204522714,training,1,end
1688204525220,training,2,start
1688204529224,training,2,end
1688204531729,training,3,start
1688204535732,training,3,end
1688204537989,training,4,start
1688204670812,training,4,end
1688204673573,training,5,start
1688204677574,training,5,end
1688204716357,AV-difficult,1,start
1688204745893,AV-difficult,1,end
1688204748154,AV-difficult,2,start
1688204753158,AV-difficult,2,end
1688204755417,AV-difficult,3,start
1688204760419,AV-difficult,3,end
1688204762927,AV-difficult,4,start
1688204767929,AV-difficult,4,end
1688204770187,AV-difficult,5,start
1688204775191,AV-difficult,5,end
1688204837601,AV-difficult,1,start
1688204842603,AV-difficult,1,end
1688204844861,AV-difficult,2,start
1688204849862,AV-difficult,2,end
1688204852620,AV-difficult,3,start
1688204857622,AV-difficult,3,end
1688204860132,AV-difficult,4,start
1688204865134,AV-difficult,4,end
1688204867890,AV-difficult,5,start
1688204872893,AV-difficult,5,end
