Time,Block,TaskCount,Item,Tag,X,Y,Z
1689549976233,training,1,TargetPanelRight,Panel,-1.820001,1.2,-1.55
1689549976233,training,1,Yellow Sphere,Target,0.4307387,1.974937,-2.213699
1689549976233,training,1,Yellow Pyramids,Same Color,-0.4245989,1.134253,-1.761592
1689549976233,training,1,Yellow Cube,Same Color,0.2998461,0.8792675,-0.4332643
1689549976233,training,1,Yellow Pyramids,Same Color,-1.249065,1.914085,-2.516318
1689549976233,training,1,Yellow Pyramids,Same Color,-0.6081458,0.7998462,-2.691095
1689549976233,training,1,Yellow Pyramids,Same Color,0.3648114,0.4443187,-2.287558
1689549976233,training,1,Yellow Cube,Same Color,-1.374735,1.051179,-1.929966
1689549976233,training,1,Red Sphere,Same Shape,1.013322,1.228253,-2.100526
1689549976233,training,1,Red Sphere,Same Shape,1.405777,1.776071,-2.710246
1689549976233,training,1,Blue Sphere,Same Shape,-0.09116989,0.5482292,-1.998168
1689549976233,training,1,Purple Sphere,Same Shape,0.09349209,0.6442457,-0.9428618
1689549976233,training,1,Red Sphere,Same Shape,-0.5082529,1.71385,-1.092668
1689549976233,training,1,Red Sphere,Same Shape,-1.062218,0.4735934,-1.87363
1689549976233,training,1,Purple Cylinder,Different,0.3036363,1.319175,-0.6866388
1689549976233,training,1,Blue Cylinder,Different,0.5173147,1.476567,-1.917026
1689549976233,training,1,Red Cube,Different,1.045625,2.259251,-2.754105
1689549976233,training,1,Red Cylinder,Different,0.6868266,1.684613,-1.264395
1689549976233,training,1,Red Pyramids,Different,-1.355175,0.9457175,-2.60287
1689549983489,training,2,TargetPanelLeft,Panel,1.82,1.2,-1.55
1689549983489,training,2,Red Cylinder,Target,-1.248625,1.583326,-1.757306
1689549983489,training,2,Red Pyramids,Same Color,1.088806,0.9913641,-1.978119
1689549983489,training,2,Red Sphere,Same Color,0.2227159,1.923161,-2.62674
1689549983489,training,2,Red Pyramids,Same Color,0.2461245,0.9375284,-2.317693
1689549983489,training,2,Red Sphere,Same Color,1.271919,0.951466,-2.470064
1689549983489,training,2,Red Cube,Same Color,-0.6947883,1.747244,-0.783031
1689549983489,training,2,Red Pyramids,Same Color,-1.587521,1.019399,-2.630407
1689549983489,training,2,Purple Cylinder,Same Shape,0.01537335,1.281253,-0.6063377
1689549983489,training,2,Yellow Cylinder,Same Shape,-0.3870862,0.8048405,-2.247545
1689549983489,training,2,Purple Cylinder,Same Shape,-0.7392905,0.8131388,-0.4942123
1689549983489,training,2,Blue Cylinder,Same Shape,0.4232963,2.01509,-1.840403
1689549983489,training,2,Purple Cylinder,Same Shape,0.1047364,1.179108,-1.26003
1689549983489,training,2,Purple Cylinder,Same Shape,-0.9078579,1.473936,-2.401835
1689549983489,training,2,Blue Sphere,Different,-0.4109514,1.044567,-2.731478
1689549983489,training,2,Yellow Sphere,Different,0.7281224,1.341258,-0.624014
1689549983489,training,2,Purple Cube,Different,-0.4997034,1.155107,-1.805307
1689549983489,training,2,Yellow Cube,Different,0.6785936,0.5829961,-1.268195
1689549983489,training,2,Blue Cube,Different,1.244223,0.1808832,-2.751747
1689549990748,training,3,TargetPanelLeft,Panel,1.82,1.2,-1.55
1689549990748,training,3,Blue Pyramids,Target,-1.061933,1.379214,-1.500324
1689549990748,training,3,Blue Cylinder,Same Color,1.155406,1.454045,-1.885599
1689549990748,training,3,Blue Sphere,Same Color,0.2454797,1.294827,-2.009932
1689549990748,training,3,Blue Sphere,Same Color,-0.6322417,1.522208,-0.5800156
1689549990748,training,3,Blue Cube,Same Color,0.2297251,0.6010723,-1.56246
1689549990748,training,3,Blue Cube,Same Color,-0.3177501,1.957376,-2.312789
1689549990748,training,3,Blue Cylinder,Same Color,0.6080055,1.977732,-1.772692
1689549990748,training,3,Red Pyramids,Same Shape,0.8456988,1.0176,-1.959663
1689549990748,training,3,Purple Pyramids,Same Shape,-0.2727393,0.8812253,-1.50846
1689549990748,training,3,Red Pyramids,Same Shape,-1.616167,0.6953421,-2.767499
1689549990748,training,3,Yellow Pyramids,Same Shape,0.05236131,2.234595,-2.615524
1689549990748,training,3,Yellow Pyramids,Same Shape,-0.68877,1.864108,-1.311439
1689549990748,training,3,Yellow Pyramids,Same Shape,-0.7351281,1.245069,-2.356227
1689549990748,training,3,Purple Sphere,Different,0.08241588,0.2892637,-2.117986
1689549990748,training,3,Red Cylinder,Different,1.484546,1.00303,-2.610988
1689549990748,training,3,Yellow Sphere,Different,0.9690871,2.015516,-2.205925
1689549990748,training,3,Yellow Cylinder,Different,0.3829346,1.435685,-2.748772
1689549990748,training,3,Yellow Sphere,Different,-1.169479,1.930231,-2.67371
1711142871002,training,1,TargetPanelRight,Panel,-1.820001,1.2,-1.55
1711142871002,training,1,Yellow Sphere,Target,0.429079,0.1750698,-2.750973
1711142871002,training,1,Yellow Pyramids,Same Color,-1.190218,1.538739,-2.67387
1711142871002,training,1,Yellow Cylinder,Same Color,-0.7846345,1.328918,-0.7739372
1711142871002,training,1,Yellow Cube,Same Color,-1.26753,1.124007,-2.133053
1711142871002,training,1,Yellow Cylinder,Same Color,-0.9381878,0.4054521,-1.701076
1711142871002,training,1,Yellow Cube,Same Color,0.5821839,0.9548772,-2.097239
1711142871002,training,1,Yellow Cylinder,Same Color,0.6848046,1.39721,-1.554881
1711142871002,training,1,Red Sphere,Same Shape,0.9665394,0.717844,-2.569841
1711142871002,training,1,Blue Sphere,Same Shape,0.7412271,0.5923554,-1.783257
1711142871002,training,1,Blue Sphere,Same Shape,0.04071426,1.129066,-1.800125
1711142871002,training,1,Blue Sphere,Same Shape,0.2615849,0.7881907,-1.103384
