Block,State,Time
Block,State,Time
ClosingEyes,start,1686861932927
ClosingEyes,end,1686861937928
Block,State,Time
Resting,start,1686861943496
Resting,end,1686861948498
Block,State,Time
AR-difficult,start,1686861977473
AR-difficult,end,1686861982475
AR-difficult,start,1686861984980
AR-difficult,end,1686861989983
AR-difficult,start,1686861992739
AR-difficult,end,1686861997742
AR-difficult,start,1686861999997
AR-difficult,end,1686862004999
AR-difficult,start,1686862007505
AR-difficult,end,1686862012509
AR-difficult,start,1686862015015
AR-difficult,end,1686862020017
AR-difficult,start,1686862022277
AR-difficult,end,1686862027280
AR-difficult,start,1686862030034
AR-difficult,end,1686862035037
AR-difficult,start,1686862037544
AR-difficult,end,1686862042545
AR-difficult,start,1686862045051
AR-difficult,end,1686862050054
AR-difficult,start,1686862052809
AR-difficult,end,1686862057812
AR-difficult,start,1686862060317
AR-difficult,end,1686862065318
AR-difficult,start,1686862068073
AR-difficult,end,1686862073076
AR-difficult,start,1686862075331
AR-difficult,end,1686862080333
AR-difficult,start,1686862082589
AR-difficult,end,1686862087591
AR-difficult,start,1686862090348
AR-difficult,end,1686862095351
AR-difficult,start,1686862097610
AR-difficult,end,1686862102613
AR-difficult,start,1686862105368
AR-difficult,end,1686862110369
AR-difficult,start,1686862113125
AR-difficult,end,1686862142971
AR-difficult,start,1686862145729
AR-difficult,end,1686862150731
AR-difficult,start,1686862153487
AR-difficult,end,1686862158488
Block,State,Time
AR-difficult,start,1686862287225
AR-difficult,end,1686862292230
AR-difficult,start,1686862294983
AR-difficult,end,1686862299985
AR-difficult,start,1686862302491
AR-difficult,end,1686862307493
AR-difficult,start,1686862309750
AR-difficult,end,1686862314751
AR-difficult,start,1686862317255
AR-difficult,end,1686862322257
AR-difficult,start,1686862324763
AR-difficult,end,1686862329766
AR-difficult,start,1686862332021
AR-difficult,end,1686862337024
AR-difficult,start,1686862339530
AR-difficult,end,1686862344531
AR-difficult,start,1686862347286
Block,State,Time
1688032397466,AR-easy,start
1688032411564,AR-easy,end
1688032411569,AR-easy,end
1688032411572,AR-easy,end
1688032411576,AR-easy,end
1688032411579,AR-easy,end
1688032411583,AR-easy,end
1688032411586,AR-easy,end
1688032411589,AR-easy,end
1688032411593,AR-easy,end
1688032411597,AR-easy,end
1688032411600,AR-easy,end
1688032411603,AR-easy,end
1688032411607,AR-easy,end
1688032411610,AR-easy,end
1688032411614,AR-easy,end
1688032411617,AR-easy,end
1688032411626,AR-easy,end
1688032482303,AR-easy,start
1688219909023,VR-difficult,start
1688219982606,VR-difficult,start
1688220289158,VR-difficult,start
1688220324104,VR-difficult,start
1688223538965,VR-difficult,start
1688223808980,VR-difficult,start
1688223895366,VR-difficult,start
1688224244938,VR-difficult,start
1688224283773,VR-difficult,end
1688226716641,AR-difficult,start
1688226751533,AR-difficult,start
1688227185861,AV-easy,start
1688227260714,AV-easy,start
1688227323350,AV-easy,end
1689327663541,VR-easy,start
1689327738363,VR-easy,end
1691950727515,VR-easy,start
