Time,Block,TaskCount,Item,Tag,X,Y,Z
1688205186654,training,0,Yellow Cylinder,Target,1.011072,1.22008,0.7780914
1688205186654,training,0,Yellow Pyramids,Same Color,1.273596,1.737428,-0.5758043
1688205186654,training,0,Yellow Pyramids,Same Color,2.351227,2.040987,1.182896
1688205186654,training,0,Yellow Cube,Same Color,2.027128,1.219212,0.7361057
1688205186654,training,0,Yellow Cube,Same Color,0.9378081,1.567332,-0.04857481
1688205186654,training,0,Yellow Sphere,Same Color,1.407328,1.73874,0.3178096
1688205186654,training,0,Yellow Cube,Same Color,2.207674,1.207821,-0.3150007
1688205186654,training,0,Blue Cylinder,Same Shape,1.829593,1.925659,-0.4488979
1688205186654,training,0,Red Cylinder,Same Shape,0.4479284,0.9279639,0.8711341
1688205186654,training,0,Blue Cylinder,Same Shape,1.081392,1.631905,1.155736
1688205186654,training,0,Red Cylinder,Same Shape,2.259784,0.4961719,-1.18474
1688205186654,training,0,Purple Cylinder,Same Shape,2.302592,0.4196638,0.4935474
1688205186654,training,0,Purple Cylinder,Same Shape,0.7841445,0.9913289,-0.4818729
1688205186654,training,0,Red Pyramids,Different,1.738431,1.28864,1.406549
1688205186654,training,0,Red Pyramids,Different,2.105122,1.821365,0.04755533
1688205186654,training,0,Purple Cube,Different,2.658294,1.116035,1.47874
1688205186654,training,0,Purple Pyramids,Different,1.4805,0.626615,0.8513951
1688205186654,training,0,Red Sphere,Different,2.25755,0.2491297,-0.646821
1688205186654,training,0,Purple Sphere,Different,1.383862,1.263209,0.09807903
1688205193416,training,1,Red Cylinder,Target,2.065937,0.9668671,-1.159669
1688205193416,training,1,Red Cube,Same Color,0.8941549,1.507854,0.2414936
1688205193416,training,1,Red Pyramids,Same Color,2.633151,1.465516,-0.2110036
1688205193416,training,1,Red Cube,Same Color,2.1408,1.184,0.1704739
1688205193416,training,1,Red Pyramids,Same Color,1.225481,0.8411639,-0.2264774
1688205193416,training,1,Red Pyramids,Same Color,2.745983,1.873133,-0.7664127
1688205193416,training,1,Red Cube,Same Color,2.657192,1.121236,-0.9460494
1688205193416,training,1,Yellow Cylinder,Same Shape,2.03134,2.023115,-0.9513181
1688205193416,training,1,Yellow Cylinder,Same Shape,1.278944,1.636218,-0.130071
1688205193416,training,1,Blue Cylinder,Same Shape,2.510087,0.3499715,1.620251
1688205193416,training,1,Blue Cylinder,Same Shape,1.437198,0.658728,1.262915
1688205193416,training,1,Yellow Cylinder,Same Shape,2.462699,2.16417,0.2497619
1688205193416,training,1,Purple Cylinder,Same Shape,2.54066,0.446946,0.5838279
1688205193416,training,1,Blue Cube,Different,1.965396,0.3162928,0.7266929
1688205193416,training,1,Blue Pyramids,Different,1.901167,0.7689471,0.4609954
1688205193416,training,1,Purple Cube,Different,1.789802,1.585273,0.8246063
1688205193416,training,1,Yellow Sphere,Different,2.518906,1.326624,0.5653634
1688205193416,training,1,Blue Sphere,Different,2.436105,1.253862,1.27122
1688205193416,training,1,Purple Cube,Different,2.145376,0.5720011,1.143888
1688205200174,training,2,Blue Cylinder,Target,2.364983,0.2048281,0.9692145
1688205200174,training,2,Blue Pyramids,Same Color,0.7940296,1.224645,-0.1013092
1688205200174,training,2,Blue Sphere,Same Color,1.828922,2.032561,0.3920425
1688205200174,training,2,Blue Pyramids,Same Color,1.829503,0.5633034,-0.5420341
1688205200174,training,2,Blue Sphere,Same Color,2.151131,1.440034,-0.9450694
1688205200174,training,2,Blue Cube,Same Color,2.487817,1.875234,0.7840812
1688205200174,training,2,Blue Cube,Same Color,2.762151,1.030942,0.675305
1688205200174,training,2,Red Cylinder,Same Shape,2.625214,0.850375,0.08225989
1688205200174,training,2,Red Cylinder,Same Shape,1.639261,1.427666,0.3135753
1688205200174,training,2,Red Cylinder,Same Shape,1.956658,1.675352,0.8203634
1688205200174,training,2,Yellow Cylinder,Same Shape,1.61961,1.173574,0.8294451
1688205200174,training,2,Purple Cylinder,Same Shape,2.314405,0.3549671,-0.8622658
1688205200174,training,2,Purple Cylinder,Same Shape,2.204115,1.208467,1.22408
1688205200174,training,2,Red Pyramids,Different,1.461138,0.9033552,-0.1330925
1688205200174,training,2,Purple Pyramids,Different,2.705174,0.4577752,0.4778331
1688205200174,training,2,Yellow Pyramids,Different,1.941353,0.4711609,0.7881368
1688205200174,training,2,Purple Cube,Different,1.952806,1.948552,-0.4805232
1688205200174,training,2,Yellow Pyramids,Different,0.889946,1.089698,0.6168309
1688205200174,training,2,Yellow Pyramids,Different,1.867695,1.434331,-0.1820374
1688205206683,training,3,Yellow Sphere,Target,0.4394213,0.8493536,0.9147095
1688205206683,training,3,Yellow Cube,Same Color,2.326463,0.6999544,0.2349524
1688205206683,training,3,Yellow Cube,Same Color,1.689573,0.7738104,0.7774369
