Time,Block,TaskCount,State
1688203745191,training,0,start
1688203749195,training,0,end
1688203751450,training,1,start
1688203755452,training,1,end
1688203757711,training,2,start
1688203761714,training,2,end
1688203764219,training,3,start
1688203768221,training,3,end
1688203779766,training,4,start
1688203819178,training,4,end
1688203821687,training,5,start
1688203825688,training,5,end
1688203855372,AV-easy,1,start
1688203860376,AV-easy,1,end
1688203862632,AV-easy,2,start
1688203867636,AV-easy,2,end
1688203870143,AV-easy,3,start
1688203875147,AV-easy,3,end
1688203877652,AV-easy,4,start
1688203882655,AV-easy,4,end
1688203884912,AV-easy,5,start
1688203889914,AV-easy,5,end
