Block,Duration,X_Coordination,Y_Coordination,Z_Coordination,SpawnTime
Block,Duration,X_Coordination,Y_Coordination,Z_Coordination,SpawnTime
Block,Duration,X_Coordination,Y_Coordination,Z_Coordination,SpawnTime
Block,Duration,X_Coordination,Y_Coordination,Z_Coordination,SpawnTime
1689327663547,VR-easy,1,1250,1.6,1.2,-2.79
1689327670803,VR-easy,2,1500,1.6,1.2,-2.79
1689327678309,VR-easy,3,1250,1.6,1.2,-2.79
1689327685566,VR-easy,4,1250,1.6,1.2,-2.79
1689327692820,VR-easy,5,1750,1.6,1.2,-2.79
1689327700577,VR-easy,6,1500,1.6,1.2,-2.79
1689327708084,VR-easy,7,1250,1.6,1.2,-2.79
1689327715346,VR-easy,8,1500,1.6,1.2,-2.79
1689327722854,VR-easy,9,1750,1.6,1.2,-2.79
1689327730608,VR-easy,10,1750,1.6,1.2,-2.79
1691950727580,VR-easy,1,1250,1.6,1.2,-2.79
1691950728832,VR-easy,1,1250,1.6,1.2,-2.79
1691950817893,VR-easy,2,1750,1.6,1.2,-2.79
1691950819644,VR-easy,2,1750,1.6,1.2,-2.79
1691950926986,VR-easy,3,1250,1.6,1.2,-2.79
1691950928236,VR-easy,3,1250,1.6,1.2,-2.79
