Time,Block,TaskCount,Item,Tag,X,Y,Z
1688219192017,training,0,Purple Cube,Target,2.246674,0.2988411,1.51222
1688219192017,training,0,Purple Sphere,Same Color,1.591873,0.9675754,0.05532229
1688219192017,training,0,Purple Sphere,Same Color,1.882628,1.27999,0.9048039
1688219192017,training,0,Purple Cylinder,Same Color,1.995037,2.108564,-0.7960681
1688219192017,training,0,Purple Sphere,Same Color,0.826045,0.8111517,-0.6124842
1688219192017,training,0,Purple Sphere,Same Color,2.044903,0.8834107,-0.9505991
1688219192017,training,0,Purple Sphere,Same Color,1.47922,0.6523251,1.287936
1688219192017,training,0,Red Cube,Same Shape,1.580335,1.630366,1.180523
1688219192017,training,0,Blue Cube,Same Shape,1.007856,1.116737,0.1096944
1688219192017,training,0,Blue Cube,Same Shape,0.6899747,1.754709,0.4830266
1688219192017,training,0,Blue Cube,Same Shape,1.653729,0.4789448,0.6537681
1688219192017,training,0,Red Cube,Same Shape,2.661405,1.515605,-0.2742124
1688219192017,training,0,Red Cube,Same Shape,0.5964987,1.116907,0.4214454
1688219192017,training,0,Yellow Sphere,Different,1.662125,0.5677137,-0.6058056
1688219192017,training,0,Blue Cylinder,Different,1.125181,1.852469,-0.3113616
1688219192017,training,0,Blue Pyramids,Different,1.708254,1.781448,0.6294149
1688219192017,training,0,Blue Sphere,Different,2.181332,2.032686,-0.2272307
1688219192017,training,0,Blue Sphere,Different,2.310602,1.968153,1.51327
1688219192017,training,0,Red Cylinder,Different,2.229365,1.927996,0.356677
1688219198278,training,1,Red Cube,Target,2.635642,1.555424,0.8409487
1688219198278,training,1,Red Sphere,Same Color,1.870427,0.373625,-0.6407645
1688219198278,training,1,Red Pyramids,Same Color,0.9930978,1.5077,1.079677
1688219198278,training,1,Red Pyramids,Same Color,2.219494,1.631273,1.424869
1688219198278,training,1,Red Pyramids,Same Color,1.898841,1.019913,1.002243
1688219198278,training,1,Red Pyramids,Same Color,2.113444,1.871171,-0.01966226
1688219198278,training,1,Red Pyramids,Same Color,1.963786,1.122897,0.3212708
1688219198278,training,1,Purple Cube,Same Shape,2.678763,0.4282965,-0.09359622
1688219198278,training,1,Purple Cube,Same Shape,1.269967,0.5294952,0.7679525
1688219198278,training,1,Yellow Cube,Same Shape,1.806495,1.324316,1.480119
1688219198278,training,1,Blue Cube,Same Shape,1.919304,2.08003,1.16022
1688219198278,training,1,Blue Cube,Same Shape,2.271167,0.6551957,0.3016633
1688219198278,training,1,Blue Cube,Same Shape,0.9350848,1.668543,0.02370149
1688219198278,training,1,Yellow Sphere,Different,1.714291,1.559456,-0.1352918
1688219198278,training,1,Purple Cylinder,Different,0.4207638,1.252075,0.2980479
1688219198278,training,1,Yellow Pyramids,Different,2.015497,1.86309,0.5531224
