Time,Block,TaskCount,Duration,X,Y,Z
1688203743930,training,-1,1250,1.6,1.2,-0.211
1688203750194,training,0,1250,1.6,1.2,-0.211
1688203756454,training,1,1250,1.6,1.2,-0.211
1688203762713,training,2,1500,1.6,1.2,-0.211
1688203769223,training,3,1750,1.6,1.2,-0.211
1688203820181,training,4,1500,1.6,1.2,-0.211
1688203852856,AV-easy,-1,1250,1.6,1.2,-0.211
1688203854115,AV-easy,0,1250,1.6,1.2,-0.211
1688203861377,AV-easy,1,1250,1.6,1.2,-0.211
1688203868636,AV-easy,2,1500,1.6,1.2,-0.211
1688203876147,AV-easy,3,1500,1.6,1.2,-0.211
1688203883655,AV-easy,4,1250,1.6,1.2,-0.211
