Time,Block,TaskCount,State
1688227743578,training,0,start
1688227747581,training,0,end
1688227750335,training,1,start
1688227754337,training,1,end
1688227756845,training,2,start
1688227760847,training,2,end
1688227763102,training,3,start
1688227767104,training,3,end
1688227769609,training,4,start
1688227773611,training,4,end
1688227776118,training,5,start
1688227780120,training,5,end
1688227800689,AV-difficult,0,start
1688227805695,AV-difficult,0,end
1688227808451,AV-difficult,1,start
1688227813453,AV-difficult,1,end
1688227815960,AV-difficult,2,start
1688227820962,AV-difficult,2,end
1688227823718,AV-difficult,3,start
1688227828719,AV-difficult,3,end
1688227831479,AV-difficult,4,start
1688227836480,AV-difficult,4,end
1688227839235,AV-difficult,5,start
1688227844238,AV-difficult,5,end
1688832363932,training,1,start
1688832367936,training,1,end
1688832370193,training,2,start
1688832374197,training,2,end
1688832376703,training,3,start
1688848037329,training,1,start
1688848217266,training,1,start
1688848504291,training,1,start
1688848536944,training,1,end
1688848539702,training,2,start
1688848543705,training,2,end
1688848546212,training,3,start
1688848550215,training,3,end
1688848552721,training,4,start
1688848556724,training,4,end
1688848558982,training,5,start
1688848562983,training,5,end
1688927348973,training,1,start
1688927552771,training,1,end
1688927555278,training,2,start
1688927740815,training,1,start
1688927744820,training,1,end
1688927747577,training,2,start
1689105698556,training,1,start
1689105702558,training,1,end
1689105705314,training,2,start
1689105709316,training,2,end
1689105711821,training,3,start
1689105715825,training,3,end
1689105718585,training,4,start
1689105722586,training,4,end
1689105725343,training,5,start
1689105729345,training,5,end
