Time,Block,TaskCount,Duration,X,Y,Z
1688224484930,training,-1,1250,1.6,1.2,-0.211
1688224491196,training,0,1250,1.6,1.2,-0.211
1688224497455,training,1,1750,1.6,1.2,-0.211
1688224504213,training,2,1250,1.6,1.2,-0.211
1688224510469,training,3,1750,1.6,1.2,-0.211
1688224517226,training,4,1500,1.6,1.2,-0.211
1688224530568,AR-easy,-1,1250,1.6,1.2,-0.211
1688224531827,AR-easy,0,1750,1.6,1.2,-0.211
1688224539587,AR-easy,1,1750,1.6,1.2,-0.211
1688224547349,AR-easy,2,1750,1.6,1.2,-0.211
1688224555109,AR-easy,3,1750,1.6,1.2,-0.211
1688224562872,AR-easy,4,1750,1.6,1.2,-0.211
