Time,Block,TaskCount,Item,Tag,X,Y,Z
1688226586068,training,0,Yellow Cylinder,Target,1.890309,1.098932,0.2574472
1688226586068,training,0,Yellow Cube,Same Color,1.900782,1.140006,1.307644
1688226586068,training,0,Yellow Cube,Same Color,2.719579,0.3881052,1.347805
1688226586068,training,0,Yellow Cube,Same Color,2.365972,1.740547,1.567435
1688226586068,training,0,Yellow Sphere,Same Color,2.626983,1.257547,1.057485
1688226586068,training,0,Yellow Sphere,Same Color,1.902938,1.681131,0.893562
1688226586068,training,0,Yellow Sphere,Same Color,1.683864,1.715652,-0.230845
1688226586068,training,0,Purple Cylinder,Same Shape,1.487567,1.91197,1.295025
1688226586068,training,0,Red Cylinder,Same Shape,1.014055,1.835197,0.7883228
1688226586068,training,0,Purple Cylinder,Same Shape,1.731531,0.9608924,-0.7543973
1688226586068,training,0,Purple Cylinder,Same Shape,0.9254017,1.365965,0.6257604
1688226586068,training,0,Purple Cylinder,Same Shape,2.25591,2.033658,-0.6332104
1688226586068,training,0,Purple Cylinder,Same Shape,2.047086,1.044145,-1.133814
1688226586068,training,0,Purple Cube,Different,2.278423,1.778324,0.20913
1688226586068,training,0,Blue Cube,Different,1.317705,0.9259504,0.2465811
1688226586068,training,0,Purple Pyramids,Different,2.475108,0.5177902,-1.30021
1688226586068,training,0,Purple Sphere,Different,1.812894,0.3630157,1.357921
1688226586068,training,0,Purple Cube,Different,0.7076411,0.9844134,-0.5311356
1688226586068,training,0,Blue Cube,Different,1.160071,1.281625,-0.7649969
1688226596139,training,1,Red Sphere,Target,2.69636,1.631365,0.6114176
1688226596139,training,1,Red Cylinder,Same Color,1.345237,0.8644379,0.8242507
1688226596139,training,1,Red Cylinder,Same Color,2.70529,0.9019877,-0.3535397
1688226596139,training,1,Red Pyramids,Same Color,2.680505,0.382685,-0.3967105
1688226596139,training,1,Red Pyramids,Same Color,1.056119,1.199197,-0.1683586
1688226596139,training,1,Red Cube,Same Color,1.487688,1.033617,-0.8826988
1688226596139,training,1,Red Cube,Same Color,2.06919,1.568112,0.9007452
1688226596139,training,1,Purple Sphere,Same Shape,0.5439961,1.445651,0.006648839
1688226596139,training,1,Purple Sphere,Same Shape,2.244502,1.155381,1.46352
1688226596139,training,1,Blue Sphere,Same Shape,2.019341,1.627264,-0.9237073
1688226596139,training,1,Blue Sphere,Same Shape,0.7310959,1.040351,0.4680116
1688226596139,training,1,Blue Sphere,Same Shape,2.159133,1.050981,-0.9066486
1688226596139,training,1,Yellow Sphere,Same Shape,2.115604,2.088089,1.428329
1688226596139,training,1,Yellow Cylinder,Different,1.313897,1.571573,0.219132
1688226596139,training,1,Purple Cylinder,Different,1.252966,1.675152,-0.4954998
1688226596139,training,1,Blue Cube,Different,2.571126,0.3781335,-1.017542
1688226596139,training,1,Yellow Cube,Different,2.339611,1.618813,-0.3021197
1688226596139,training,1,Yellow Cylinder,Different,1.628674,1.283241,1.294697
1688226596139,training,1,Yellow Cube,Different,1.823996,2.019691,0.9227271
1688226602899,training,2,Purple Pyramids,Target,2.120908,1.493181,0.06181562
1688226602899,training,2,Purple Sphere,Same Color,1.881655,1.747272,1.401953
1688226602899,training,2,Purple Cube,Same Color,1.375288,1.125768,-0.875384
1688226602899,training,2,Purple Sphere,Same Color,2.04353,2.106272,0.4806462
1688226602899,training,2,Purple Sphere,Same Color,2.653875,1.949536,-0.2327549
1688226602899,training,2,Purple Sphere,Same Color,1.82499,1.490293,0.8251072
1688226602899,training,2,Purple Cylinder,Same Color,2.466827,0.8273335,0.1078864
1688226602899,training,2,Red Pyramids,Same Shape,2.737118,0.4571913,1.561639
1688226602899,training,2,Yellow Pyramids,Same Shape,1.005429,1.771039,0.7346996
1688226602899,training,2,Yellow Pyramids,Same Shape,2.216792,1.033356,0.7302
1688226602899,training,2,Blue Pyramids,Same Shape,1.5584,0.6794986,0.09798598
1688226602899,training,2,Yellow Pyramids,Same Shape,2.725297,2.218558,-0.9539057
1688226602899,training,2,Yellow Pyramids,Same Shape,1.678187,1.29787,-0.2612343
1688226602899,training,2,Red Sphere,Different,0.6546785,1.398108,-0.03647763
1688226602899,training,2,Yellow Sphere,Different,2.166105,0.9937714,1.391225
