Time,Block,TaskCount,Target,ClickedItem,IsTarget
1688226593382,training,0,Yellow Cylinder,Missed,False
1688226600144,training,1,Red Sphere,Missed,False
1688226606903,training,2,Purple Pyramids,Missed,False
1688226613661,training,3,Yellow Cylinder,Missed,False
1688226620169,training,4,Blue Cube,Missed,False
1688226626425,training,5,Red Pyramids,Missed,False
