Time,Block,State
1688205170111,ClosingEyes,start
1688205175117,ClosingEyes,end
1688205177329,Resting,start
1688205182329,Resting,end
1688205184895,training,start
1688205224701,training,end
1688205232071,VR-easy,start
1688205290780,VR-easy,end
1688205336240,VR-difficult,start
1688205375308,VR-difficult,end
1688205400169,AV-difficult,start
1688205438734,AV-difficult,end
1688205495830,AR-easy,start
1688205540147,AR-easy,end
1688205576170,AV-easy,start
1688205621484,AV-easy,end
1688205667872,AR-difficult,start
1688205713444,AR-difficult,end
1688205811081,training,start
