Time,Block,TaskCount,Duration,X,Y,Z
1688227742318,training,-1,1250,1.6,1.2,-0.211
1688227748580,training,0,1750,1.6,1.2,-0.211
1688227755339,training,1,1500,1.6,1.2,-0.211
1688227761847,training,2,1250,1.6,1.2,-0.211
1688227768104,training,3,1500,1.6,1.2,-0.211
1688227774613,training,4,1500,1.6,1.2,-0.211
1688227799181,AV-difficult,-1,1500,1.6,1.2,-0.211
1688227806692,AV-difficult,0,1750,1.6,1.2,-0.211
1688227814452,AV-difficult,1,1500,1.6,1.2,-0.211
1688227821962,AV-difficult,2,1750,1.6,1.2,-0.211
1688227829721,AV-difficult,3,1750,1.6,1.2,-0.211
1688227837479,AV-difficult,4,1750,1.6,1.2,-0.211
1688832362423,training,0,1500,0,1.2,-1.57
1688832368937,training,1,1250,0,1.2,-1.57
1688832375197,training,2,1500,0,1.2,-1.57
1688847943421,training,0,1750,0,1.2,-1.57
1688847945193,training,1,1500,0,1.2,-1.57
1688847946703,training,2,1250,0,1.2,-1.57
1688848035568,training,0,1750,0,1.2,-1.57
1688848216007,training,0,1250,0,1.2,-1.57
1688848503033,training,0,1250,0,1.2,-1.57
1688848537947,training,1,1750,0,1.2,-1.57
1688848544706,training,2,1500,0,1.2,-1.57
1688848551217,training,3,1500,0,1.2,-1.57
1688848557727,training,4,1250,0,1.2,-1.57
1688927347464,training,0,1500,0,1.2,-1.57
1688927553773,training,1,1500,0,1.2,-1.57
1688927739303,training,0,1500,0,1.2,-1.57
1688927745821,training,1,1750,0,1.2,-1.57
1689105696795,training,0,1750,0,1.2,-1.57
1689105703559,training,1,1750,0,1.2,-1.57
1689105710316,training,2,1500,0,1.2,-1.57
1689105716826,training,3,1750,0,1.2,-1.57
1689105723588,training,4,1750,0,1.2,-1.57
