Time,Block,TaskCount,State
1688224486194,training,0,start
1688224490197,training,0,end
1688224492452,training,1,start
1688224496454,training,1,end
1688224499211,training,2,start
1688224503213,training,2,end
1688224505467,training,3,start
1688224509468,training,3,end
1688224512225,training,4,start
1688224516226,training,4,end
1688224518734,training,5,start
1688224522737,training,5,end
1688224533584,AR-easy,1,start
1688224538585,AR-easy,1,end
1688224541347,AR-easy,2,start
1688224546349,AR-easy,2,end
1688224549106,AR-easy,3,start
1688224554109,AR-easy,3,end
1688224556869,AR-easy,4,start
1688224561872,AR-easy,4,end
1688224564628,AR-easy,5,start
1688224569632,AR-easy,5,end
